measure,county,report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,antigen_cases,probable_deaths,antigen_cases_cum,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_antigen_cases,moving_avg_probable_deaths,moving_avg_total_cases
state_total,Georgia,2020-06-19,1212,31,60944,2621,932.428571428571,30.8571428571428,49,0,846,31,1261,61790,64,0.28571428571428,996.428571428571
state_total,Georgia,2020-06-20,1798,1,62742,2622,1041.71428571428,27.5714285714285,14,0,860,31,1812,63602,65,0.14285714285714,1106.71428571428
state_total,Georgia,2020-06-21,885,0,63627,2622,1046.85714285714,26.8571428571428,0,0,860,31,885,64487,64.8571428571428,0.14285714285714,1111.71428571428
state_total,Georgia,2020-06-22,1210,11,64837,2633,1114.71428571428,21,59,0,919,31,1269,65756,56.8571428571428,0.14285714285714,1171.57142857142
state_total,Georgia,2020-06-23,1748,41,66585,2674,1256.85714285714,22.1428571428571,111,0,1030,31,1859,67615,56.7142857142857,0.14285714285714,1313.57142857142
state_total,Georgia,2020-06-24,1779,26,68364,2700,1369.85714285714,18.8571428571428,49,0,1079,31,1828,69443,49.5714285714285,0.14285714285714,1419.42857142857
state_total,Georgia,2020-06-25,1683,33,70047,2733,1473.57142857142,20.4285714285714,59,0,1138,31,1742,71185,48.7142857142857,0,1522.28571428571
state_total,Georgia,2020-06-26,1921,24,71968,2757,1574.85714285714,19.4285714285714,150,0,1288,31,2071,73256,63.1428571428571,0,1638
state_total,Georgia,2020-06-27,1930,2,73898,2759,1593.71428571428,19.5714285714285,9,0,1297,31,1939,75195,62.4285714285714,0,1656.14285714285
state_total,Georgia,2020-06-28,2162,2,76060,2761,1776.14285714285,19.8571428571428,17,0,1314,31,2179,77374,64.8571428571428,0,1841
state_total,Georgia,2020-06-29,1985,15,78045,2776,1886.85714285714,20.4285714285714,115,1,1429,32,2100,79474,72.8571428571428,0.14285714285714,1959.71428571428
state_total,Georgia,2020-06-30,1869,14,79914,2790,1904.14285714285,16.5714285714285,102,2,1531,34,1971,81445,71.5714285714285,0.42857142857142,1975.71428571428
state_total,Georgia,2020-07-01,2926,20,82840,2810,2068,15.7142857142857,77,0,1608,34,3003,84448,75.5714285714285,0.42857142857142,2143.57142857142
state_total,Georgia,2020-07-02,3445,15,86285,2825,2319.71428571428,13.1428571428571,84,0,1692,34,3529,87977,79.1428571428571,0.42857142857142,2398.85714285714
state_total,Georgia,2020-07-03,2771,6,89056,2831,2441.14285714285,10.5714285714285,34,2,1726,36,2805,90782,62.5714285714285,0.71428571428571,2503.71428571428
state_total,Georgia,2020-07-04,2706,3,91762,2834,2552,10.7142857142857,1,1,1727,37,2707,93489,61.4285714285714,0.85714285714285,2613.42857142857
state_total,Georgia,2020-07-05,2096,0,93858,2834,2542.57142857142,10.4285714285714,16,41,1743,78,2112,95601,61.2857142857142,6.71428571428571,2603.85714285714
state_total,Georgia,2020-07-06,1521,27,95379,2861,2476.28571428571,12.1428571428571,115,5,1858,83,1636,97237,61.2857142857142,7.28571428571428,2537.57142857142
state_total,Georgia,2020-07-07,3349,22,98728,2883,2687.71428571428,13.2857142857142,101,0,1959,83,3450,100687,61.1428571428571,7,2748.85714285714
state_total,Georgia,2020-07-08,3401,21,102129,2904,2755.57142857142,13.4285714285714,79,0,2038,83,3480,104167,61.4285714285714,7,2817
state_total,Georgia,2020-07-09,2613,17,104742,2921,2636.71428571428,13.7142857142857,207,1,2245,84,2820,106987,79,7.14285714285714,2715.71428571428
state_total,Georgia,2020-07-10,4423,50,109165,2971,2872.71428571428,20,184,0,2429,84,4607,111594,100.428571428571,6.85714285714285,2973.14285714285
state_total,Georgia,2020-07-11,3172,2,112337,2973,2939.28571428571,19.8571428571428,11,0,2440,84,3183,114777,101.857142857142,6.71428571428571,3041.14285714285
state_total,Georgia,2020-07-12,2561,4,114898,2977,3005.71428571428,20.4285714285714,4,1,2444,85,2565,117342,100.142857142857,1,3105.85714285714
state_total,Georgia,2020-07-13,3603,22,118501,2999,3303.14285714285,19.7142857142857,177,0,2621,85,3780,121122,109,0.28571428571428,3412.14285714285
state_total,Georgia,2020-07-14,3376,28,121877,3027,3307,20.5714285714285,193,1,2814,86,3569,124691,122.142857142857,0.42857142857142,3429.14285714285
state_total,Georgia,2020-07-15,3758,35,125635,3062,3358,22.5714285714285,333,0,3147,86,4091,128782,158.428571428571,0.42857142857142,3516.42857142857
state_total,Georgia,2020-07-16,3402,14,129037,3076,3470.71428571428,22.1428571428571,267,0,3414,86,3669,132451,167,0.28571428571428,3637.71428571428
state_total,Georgia,2020-07-17,3976,26,133013,3102,3406.85714285714,18.7142857142857,250,0,3664,86,4226,136677,176.428571428571,0.28571428571428,3583.28571428571
